,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
95,University,47.69936,-122.33401,1960_1980,11.0,2,,582447,111625,667335.0,0,1,1,362.82,35891484.0
96,Warehouse,47.55152,-122.31869,_1920,1.0,4,61.0,114297,0,114297.0,0,1,1,69.44,2100097.75
97,Warehouse,47.55901,-122.33328,1920_1940,1.0,1,87.0,234144,0,234144.0,0,1,1,297.43,6744317.0
98,Retail Store,47.52254,-122.36627,1960_1980,1.0,1,72.0,64984,0,65425.0,0,1,1,35.78,2944296.25
99,Retail Store,47.52254,-122.36627,1960_1980,1.0,1,37.0,67745,0,67782.0,0,1,1,369.14,9230223.0
100,K-12 School,47.52915,-122.36511,2000_,1.0,2,97.0,367884,0,367884.0,0,1,1,272.85,12265516.0
101,Other,47.67767,-122.39631,1960_1980,1.0,3,,56000,0,56000.0,0,1,1,59.34,1851260.5
102,Self-Storage Facility,47.54508,-122.37737,1960_1980,1.0,2,,52088,0,52088.0,0,1,1,48.99,1377519.5
103,Hotel,47.62972,-122.32906,1980_2000,1.0,5,79.0,93920,30000,123920.0,0,1,1,309.6,9373179.0
104,Hotel,47.62782,-122.34045,1980_2000,1.0,7,76.0,153315,54341,141591.0,0,1,1,338.16,11171988.0
105,Hotel,47.70916,-122.33216,1960_1980,1.0,4,70.0,64893,0,64893.0,0,1,1,208.26,6197825.0
106,Small- and Mid-Sized Office,47.60105,-122.33518,_1920,1.0,3,78.0,44558,0,34416.0,0,1,1,28.27,1677002.25
107,Other,47.59544,-122.33159,1980_2000,1.0,6,,1258280,327680,1585960.0,0,1,1,892.63,59757440.0
108,Other,47.59085,-122.33354,1980_2000,1.0,3,,1172127,0,1172127.0,0,1,1,1246.55,58761304.0
109,Hotel,47.59269,-122.33372,2000_,1.0,9,64.0,153882,14567,135006.0,0,1,1,388.37,12726789.0
