,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
447,Retail Store,47.60223,-122.33602,_1920,1.0,6,89.0,86204,0,67670.0,0,1,1,69.02,3241917.0
448,Large Office,47.58716,-122.32214,1940_1960,1.0,2,66.0,112896,0,110746.0,0,1,1,157.48,10287986.0
449,Distribution Center,47.58685,-122.32501,1940_1960,1.0,1,95.0,110613,0,99551.0,0,1,0,7.08,1015060.188
450,Warehouse,47.58553,-122.32511,1940_1960,1.0,4,97.0,149881,0,119593.0,0,1,1,95.86,2417401.25
451,Warehouse,47.58042,-122.32552,1940_1960,1.0,3,12.0,98220,0,129420.0,0,1,1,75.29,6468090.0
452,Distribution Center,47.58096,-122.32313,1960_1980,1.0,1,55.0,84420,0,44300.0,0,1,0,19.86,2848317.25
453,Distribution Center,47.57055,-122.3267,1960_1980,1.0,1,,73335,0,73335.0,0,1,1,155.74,5197118.0
454,Distribution Center,47.5794,-122.32848,1920_1940,1.0,2,,56876,0,48400.0,0,1,1,48.5,1791715.625
455,Warehouse,47.58241,-122.32866,1920_1940,1.0,2,16.0,61200,0,61200.0,0,1,1,178.62,4912143.0
456,Distribution Center,47.58772,-122.32686,1980_2000,1.0,1,87.0,111908,0,109090.0,0,1,1,34.14,1555420.25
457,Other,47.5908,-122.32828,1980_2000,3.0,2,,63644,0,65700.0,0,1,1,168.5,6858533.5
458,Mixed Use Property,47.59439,-122.32839,1920_1940,3.0,2,,89893,18860,58605.0,0,1,0,25.37,3639670.25
459,Supermarket / Grocery Store,47.69197,-122.35877,1960_1980,1.0,1,91.0,106345,35545,168735.0,0,1,1,293.56,16865978.0
460,Small- and Mid-Sized Office,47.6633,-122.37549,2000_,1.0,4,5.0,71037,21055,70074.0,0,1,0,33.58,4817062.0
461,Warehouse,47.6592,-122.38437,1960_1980,0.0,3,,56259,0,31582.0,0,1,1,86.9,2346571.5
462,Other,47.65529,-122.32133,2000_,1.0,6,,143439,0,119570.0,0,1,1,710.7,25631512.0
463,Large Office,47.64912,-122.34823,2000_,1.0,4,73.0,113768,88855,105206.0,0,1,0,61.86,8873485.0
464,Small- and Mid-Sized Office,47.64932,-122.35187,1980_2000,1.0,2,33.0,51374,25800,77174.0,0,1,0,38.21,5481549.0
465,Large Office,47.62817,-122.34212,1980_2000,1.0,5,57.0,110524,0,98781.0,0,1,0,47.82,6859198.0
466,Mixed Use Property,47.6289,-122.32877,2000_,1.0,5,,183574,103650,97500.0,0,1,1,314.43,21042926.0
467,Laboratory,47.63079,-122.32693,1980_2000,1.0,4,,97366,18382,97365.0,0,1,1,1154.79,36436388.0
468,Large Office,47.62225,-122.35915,1980_2000,1.0,7,88.0,157186,84689,163082.0,0,1,1,68.06,8655604.0
469,Large Office,47.61949,-122.35639,1960_1980,1.0,5,85.0,84210,18720,89075.0,0,1,1,65.03,4750799.0
470,Small- and Mid-Sized Office,47.61472,-122.35566,_1920,1.0,3,,76893,0,90345.0,0,1,1,260.13,12029600.0
471,Large Office,47.61732,-122.34791,1960_1980,1.0,8,65.0,126370,23630,126648.0,0,1,1,119.93,9343428.0
472,Large Office,47.61628,-122.33391,1940_1960,1.0,7,82.0,274362,0,274362.0,0,1,1,147.82,16540550.0
473,Large Office,47.61599,-122.34165,1980_2000,1.0,15,85.0,261722,116280,270237.0,0,1,1,246.83,17750994.0
474,Large Office,47.61481,-122.33969,1960_1980,1.0,11,83.0,169020,0,156414.0,1,1,1,346.62,11480494.0
476,Large Office,47.60454,-122.33072,1980_2000,1.0,76,86.0,1632820,319400,1680937.0,0,1,1,882.56,92937640.0
477,Large Office,47.61418,-122.33485,1980_2000,1.0,19,90.0,293737,89778,312442.0,0,1,0,110.7,15878689.0
478,Medical Office,47.6129,-122.33684,1920_1940,1.0,18,68.0,335064,28870,281598.0,1,1,1,582.28,22104512.0
479,Retail Store,47.61203,-122.33486,1920_1940,1.0,4,80.0,78920,0,78920.0,0,1,1,109.85,8303666.5
480,Large Office,47.61051,-122.34439,1960_1980,1.0,7,93.0,43983,87160,120248.0,0,1,1,109.16,5177270.5
481,Other,47.61289,-122.33531,1980_2000,1.0,0,,947987,0,561684.0,0,1,0,324.25,46510960.0
482,Mixed Use Property,47.61505,-122.32,_1920,1.0,4,,55520,0,17120.0,0,1,1,150.88,3686962.25
483,Large Office,47.61036,-122.34037,_1920,1.0,10,97.0,132998,0,138257.0,1,1,0,133.8,3775187.5
484,Retail Store,47.60956,-122.33715,1920_1940,1.0,3,59.0,83118,0,45000.0,0,1,1,27.82,2443141.5
485,Retail Store,47.60925,-122.33734,1920_1940,1.0,3,39.0,77555,0,73563.0,0,1,1,54.4,7802205.5
486,Small- and Mid-Sized Office,47.60765,-122.34097,_1920,1.0,6,57.0,51218,0,44913.0,0,1,0,20.12,2886141.5
487,Large Office,47.60765,-122.3348,1960_1980,1.0,29,43.0,489182,0,371450.0,0,1,1,426.39,36378588.0
488,Large Office,47.60769,-122.33544,1920_1940,1.0,27,62.0,203251,13320,182604.0,1,1,1,639.72,16246106.0
489,Large Office,47.60741,-122.33565,1920_1940,1.0,13,13.0,189175,0,151740.0,0,1,0,132.71,19036416.0
490,Large Office,47.60582,-122.33464,1980_2000,1.0,13,25.0,219322,74481,145491.0,0,1,0,119.03,17074142.0
491,Large Office,47.60576,-122.33922,_1920,1.0,7,91.0,122356,0,95942.0,0,1,1,41.8,4585070.5
492,Small- and Mid-Sized Office,47.60366,-122.33328,1920_1940,1.0,3,89.0,52298,0,50250.0,0,1,0,13.72,1968655.125
493,Large Office,47.60304,-122.33362,_1920,1.0,17,75.0,116640,0,82053.0,1,1,0,169.06,6758565.5
494,Large Office,47.60573,-122.33028,1980_2000,1.0,42,95.0,1047934,201121,983697.0,0,1,0,264.78,37980712.0
495,Medical Office,47.60663,-122.32157,1980_2000,1.0,5,15.0,89025,99314,81873.0,0,1,1,89.41,8523594.0
496,University,47.6094,-122.31506,_1920,1.0,2,,60122,0,60122.0,0,1,1,9.31,690529.5
497,Small- and Mid-Sized Office,47.5981,-122.33369,_1920,1.0,6,83.0,81300,13700,84481.0,0,1,1,31.43,4052720.0
498,Large Office,47.6029,-122.32927,1960_1980,1.0,9,79.0,224857,0,204993.0,1,1,0,390.67,15272491.0
499,Large Office,47.59878,-122.33088,1980_2000,1.0,8,96.0,321473,124788,343400.0,0,1,0,94.59,13568148.0
500,Other,47.59273,-122.33455,1920_1940,1.0,2,,58492,0,58500.0,0,1,1,51.56,1594422.5
501,Small- and Mid-Sized Office,47.58958,-122.33369,_1920,1.0,6,30.0,62370,0,49473.0,0,1,0,30.35,4353025.0
502,Warehouse,47.58454,-122.3269,1940_1960,1.0,1,83.0,73296,0,77800.0,0,1,1,73.58,2356376.75
503,Other,47.58251,-122.32528,1980_2000,1.0,1,,66133,0,60787.0,0,1,1,89.94,6345009.5
504,Warehouse,47.57613,-122.33864,1940_1960,1.0,2,,115668,0,101752.0,0,1,1,111.23,3534690.75
505,Other,47.56301,-122.32564,1960_1980,1.0,1,,141686,0,152511.0,0,1,0,46.52,6673138.0
506,Small- and Mid-Sized Office,47.55695,-122.33176,1940_1960,1.0,1,95.0,93610,0,101278.0,0,1,1,152.28,6235947.0
507,Large Office,47.55238,-122.32762,1960_1980,1.0,2,67.0,156188,0,141917.0,0,1,1,60.92,6843855.0
508,Warehouse,47.54923,-122.32446,1960_1980,1.0,1,11.0,115620,0,56900.0,0,1,0,13.61,1951856.25
509,Large Office,47.54699,-122.32882,1960_1980,1.0,5,93.0,238148,0,245240.0,0,1,0,75.12,10775646.0
510,Distribution Center,47.54326,-122.33134,1960_1980,1.0,1,100.0,71718,0,71718.0,0,1,0,1.06,151754.2969
511,Warehouse,47.53628,-122.3329,1960_1980,1.0,1,31.0,55450,0,34206.0,0,1,1,131.64,4345698.0
512,Distribution Center,47.52549,-122.33064,1960_1980,1.0,1,32.0,54880,0,55000.0,0,1,1,89.53,2763597.0
513,Retail Store,47.52222,-122.36892,1980_2000,1.0,1,81.0,102500,0,99471.0,0,1,1,158.55,7305474.0
514,Other,47.66478,-122.29804,2000_,1.0,6,,88498,272900,232685.0,0,1,1,119.92,8915523.0
515,Supermarket / Grocery Store,47.57903,-122.29982,1960_1980,1.0,1,57.0,50785,0,27382.0,0,1,1,195.43,7439009.0
516,Small- and Mid-Sized Office,47.54103,-122.33766,1920_1940,1.0,3,1.0,85126,0,81526.0,0,1,1,166.13,37951708.0
517,Other,47.70911,-122.32529,1980_2000,1.0,5,,283435,19820,321828.0,0,1,1,99.14,11077140.0
518,Distribution Center,47.56613,-122.33838,1980_2000,1.0,1,43.0,411584,0,288048.0,0,1,1,455.39,15091579.0
519,Mixed Use Property,47.59937,-122.33116,_1920,1.0,4,,73320,0,27283.0,0,1,1,29.16,1141189.75
520,Large Office,47.6252,-122.36737,2000_,1.0,4,77.0,142510,100176,149081.0,0,1,0,67.51,9683979.0
521,Small- and Mid-Sized Office,47.5992,-122.33223,_1920,1.0,6,83.0,79920,15840,95760.0,0,1,1,74.45,5392617.5
522,Warehouse,47.56733,-122.3352,1940_1960,1.0,1,57.0,179413,0,178087.0,0,1,0,24.12,3459543.0
523,Warehouse,47.57513,-122.33739,_1920,0.0,1,,65288,0,60000.0,0,1,0,4.22,605971.1875
524,Warehouse,47.5725,-122.3571,1960_1980,1.0,1,98.0,170632,0,164806.0,0,1,0,4.2,602245.0
525,Large Office,47.63264,-122.34171,1980_2000,1.0,10,87.0,381511,0,220033.0,0,1,1,106.12,11410228.0
526,Large Office,47.60214,-122.32726,2000_,1.0,17,91.0,275166,138098,295494.0,0,1,0,95.03,13631141.0
527,Mixed Use Property,47.6586,-122.3124,2000_,1.0,6,63.0,68100,54300,41624.0,0,1,1,79.39,4865551.5
528,Retail Store,47.66246,-122.29898,1940_1960,1.0,2,,93803,0,85572.0,0,1,1,110.41,5453438.5
529,Warehouse,47.51304,-122.28394,1960_1980,1.0,2,47.0,123000,0,112484.0,0,1,0,20.94,3004271.0
530,Medical Office,47.6056366,-122.3214798,2000_,1.0,5,70.0,162150,112980,177748.0,0,1,0,69.3,9941308.0
531,Warehouse,47.51168,-122.28285,1960_1980,1.0,1,90.0,60448,0,52702.0,0,1,1,27.24,1052244.75
532,Hospital,47.608951,-122.322402,1980_2000,7.0,14,54.0,1765970,0,1639334.0,1,1,1,12307.16,291614432.0
533,Other,47.61915,-122.35871,1920_1940,3.0,4,,62600,0,215197.0,0,1,1,406.04,11147342.0
534,Mixed Use Property,47.60453796,-122.3203278,2000_,1.0,4,,55800,21612,26400.0,0,1,1,20.85,2655387.5
535,Medical Office,47.60796711,-122.3195445,1980_2000,1.0,5,59.0,130262,159157,146150.0,0,1,1,133.5,12731388.0
536,Other,47.6993,-122.32378,1980_2000,1.0,5,18.0,90266,0,87552.0,0,1,0,54.18,7771933.5
537,Warehouse,47.6582,-122.36434,2000_,1.0,4,87.0,80874,6458,87332.0,0,1,1,14.49,1165598.875
538,Hotel,47.61210727,-122.3205972,2000_,1.0,6,28.0,100528,50017,100528.0,0,1,1,453.76,13410041.0
539,Other,47.62147,-122.34817,1980_2000,1.0,5,,141718,0,134197.0,0,1,1,341.23,19085174.0
540,Hotel,47.62562,-122.35121,2000_,1.0,5,8.0,90583,21273,92000.0,0,1,1,278.97,9444484.0
541,Warehouse,47.61818,-122.31728,1980_2000,1.0,4,83.0,132828,0,132828.0,0,1,0,7.56,1083729.625
542,Warehouse,47.53935,-122.34402,1960_1980,1.0,1,1.0,70400,0,58047.0,0,1,1,284.01,13962749.0
543,Retail Store,47.71417,-122.34256,1980_2000,1.0,1,60.0,101830,0,130767.0,0,1,1,295.12,10713006.0
544,University,47.5997,-122.30364,1960_1980,2.0,4,,114000,0,114000.0,0,1,1,109.71,7575080.0
545,Other,47.5805,-122.33032,2000_,1.0,3,,338063,0,180633.0,0,1,1,259.49,20675922.0
546,Warehouse,47.57311,-122.3601,1960_1980,1.0,1,88.0,152365,0,149293.0,0,1,1,13.07,1069749.75
547,Medical Office,47.60705,-122.30966,_1920,1.0,6,57.0,320946,0,236359.0,0,1,1,189.85,25471308.0
548,Retail Store,47.54862,-122.32272,1940_1960,1.0,1,,74178,0,74178.0,0,1,1,134.82,5402181.0
549,Warehouse,47.70799,-122.30185,1980_2000,1.0,4,96.0,80360,0,80360.0,0,1,1,16.27,686019.1875
550,Supermarket / Grocery Store,47.61318,-122.32122,1980_2000,1.0,3,71.0,119190,0,46280.0,0,1,1,267.0,10077532.0
551,Other,47.59394,-122.32452,2000_,1.0,2,,51856,0,48103.0,0,1,0,13.51,1938613.125
552,Mixed Use Property,47.58718,-122.33467,1920_1940,1.0,3,3.0,53552,12586,26044.0,0,1,0,49.29,7070998.5
553,Large Office,47.66181,-122.31231,1940_1960,1.0,3,1.0,65434,48510,65434.0,0,1,1,128.73,17880184.0
555,Worship Facility,47.67738,-122.28996,1940_1960,1.0,2,90.0,22220,0,22220.0,0,1,1,31.74,778355.8125
556,Mixed Use Property,47.54437,-122.30863,1960_1980,1.0,1,,44700,0,23751.0,0,1,1,30.52,2042771.0
557,Warehouse,47.54137,-122.33051,1960_1980,1.0,1,1.0,44100,0,40000.0,0,1,0,11.29,1618916.375
558,Distribution Center,47.54113,-122.32633,1960_1980,1.0,1,13.0,27800,0,27800.0,0,1,1,24.39,1224186.25
559,Warehouse,47.55436,-122.33631,2000_,1.0,1,3.0,46340,0,46340.0,0,1,0,17.87,2564004.0
560,Other,47.54134,-122.30529,1980_2000,3.0,1,,22800,0,22800.0,0,1,1,101.5,2222097.5
561,Small- and Mid-Sized Office,47.60191,-122.31438,_1920,1.0,3,69.0,38460,0,38460.0,0,1,1,36.02,1950713.25
562,Worship Facility,47.68576,-122.35481,1920_1940,1.0,2,54.0,21022,0,21022.0,0,1,1,43.84,945245.625
563,Distribution Center,47.51127,-122.281,1960_1980,1.0,1,49.0,48001,0,48001.0,0,1,1,86.46,2143650.75
564,Warehouse,47.51399,-122.27946,1960_1980,1.0,1,,26380,0,23620.0,0,1,1,3.58,509124.0
565,Warehouse,47.51018,-122.28192,1960_1980,1.0,1,10.0,37351,0,29551.0,0,1,1,77.04,2559461.75
566,Warehouse,47.51127,-122.281,1980_2000,1.0,1,73.0,30375,0,30375.0,0,1,0,2.41,345866.6875
567,Warehouse,47.51104,-122.28245,1960_1980,1.0,1,,30004,0,24280.0,0,1,0,2.57,369291.5
568,Other,47.68541,-122.27097,1920_1940,1.0,3,,39971,0,36185.0,0,1,1,416.07,10960107.0
569,Worship Facility,47.68164,-122.3753,_1920,1.0,2,90.0,33589,0,33589.0,0,1,1,21.93,509836.1875
570,Small- and Mid-Sized Office,47.66587,-122.38476,1960_1980,1.0,3,46.0,43500,0,43495.0,0,1,1,22.65,3220635.25
571,Small- and Mid-Sized Office,47.67528,-122.40836,1960_1980,1.0,2,12.0,28492,0,28492.0,0,1,1,37.78,1896298.875
572,Small- and Mid-Sized Office,47.6744,-122.40735,1960_1980,1.0,3,,22325,0,18000.0,0,1,0,9.77,1401315.875
573,Restaurant,47.67398,-122.40765,1960_1980,1.0,3,,22719,0,22719.0,0,1,0,9.47,1358519.0
574,Laboratory,47.61597,-122.33086,1940_1960,1.0,2,,22588,22000,69000.0,0,1,0,50.55,7251589.0
575,Retail Store,47.59692,-122.31543,_1920,1.0,2,69.0,147545,0,147545.0,0,1,1,169.75,6787070.0
576,Other,47.67713,-122.35398,_1920,1.0,2,,28072,0,23835.0,0,1,1,63.48,1362523.0
577,Restaurant,47.61468,-122.34925,1940_1960,1.0,2,,31020,0,31020.0,0,1,1,207.6,4970047.0
578,Small- and Mid-Sized Office,47.61402,-122.35016,_1920,1.0,2,,21600,0,14400.0,0,1,1,29.62,1636649.125
579,Small- and Mid-Sized Office,47.6158,-122.35126,1960_1980,1.0,5,59.0,48505,13320,37993.0,0,1,1,141.2,4322873.0
580,Small- and Mid-Sized Office,47.61683,-122.35176,1940_1960,1.0,3,96.0,64630,0,64630.0,0,1,0,9.82,1408291.375
581,Worship Facility,47.61636,-122.35094,1940_1960,1.0,2,15.0,20920,0,20920.0,0,1,1,42.19,1042108.5
582,Worship Facility,47.57384,-122.41182,1920_1940,1.0,2,94.0,22128,0,22128.0,0,1,1,25.24,608359.6875
583,Retail Store,47.72736,-122.34579,1960_1980,1.0,1,98.0,48139,0,40000.0,0,1,1,24.02,859236.625
584,Worship Facility,47.56633,-122.38725,1940_1960,1.0,2,86.0,21364,0,15364.0,0,1,1,43.8,965651.125
585,University,47.61741,-122.33491,1980_2000,1.0,2,,28923,0,28800.0,0,1,1,15.27,439311.9063
586,University,47.61789,-122.33573,1920_1940,1.0,3,,21600,0,21600.0,0,1,1,6.33,323739.4063
587,Retail Store,47.6646,-122.29932,1980_2000,1.0,1,82.0,25735,0,25691.0,0,1,1,18.1,1169394.875
588,Retail Store,47.66246,-122.29898,1940_1960,1.0,2,20.0,25862,0,25562.0,0,1,1,154.17,4801472.0
589,Retail Store,47.66246,-122.29898,2000_,1.0,2,82.0,49965,0,47465.0,0,1,1,29.54,3377209.75
590,Small- and Mid-Sized Office,47.6026,-122.33232,1920_1940,1.0,2,95.0,20028,0,20028.0,1,1,0,14.22,511797.4063
591,Small- and Mid-Sized Office,47.60247,-122.33372,_1920,1.0,7,100.0,23622,0,26195.0,0,1,1,9.95,552007.5
592,Small- and Mid-Sized Office,47.60237,-122.33365,_1920,1.0,3,67.0,23563,0,20183.0,0,1,0,6.16,883197.6875
593,Mixed Use Property,47.60284,-122.33407,_1920,1.0,3,,28600,0,12000.0,0,1,1,24.25,1062722.625
594,Mixed Use Property,47.60427,-122.33385,1960_1980,1.0,2,55.0,26160,12379,15549.0,0,1,0,15.24,2186018.5
595,Small- and Mid-Sized Office,47.60427,-122.33385,_1920,1.0,5,24.0,26840,0,29040.0,0,1,0,13.87,1989287.0
596,Retail Store,47.60427,-122.33385,_1920,1.0,2,86.0,46800,0,36019.0,0,1,0,8.68,1245187.5
597,Small- and Mid-Sized Office,47.60431,-122.33335,1960_1980,1.0,3,51.0,37350,26640,39000.0,0,1,1,14.63,2067352.5
598,Small- and Mid-Sized Office,47.61285,-122.34817,_1920,1.0,3,50.0,28800,0,21600.0,0,1,1,28.81,1345025.75
599,Small- and Mid-Sized Office,47.6172,-122.34979,1940_1960,1.0,3,75.0,28584,4968,26556.0,0,1,1,60.43,1696978.75
600,Retail Store,47.61652,-122.34854,1920_1940,1.0,2,32.0,26270,0,26270.0,0,1,1,33.78,1560461.75
601,Small- and Mid-Sized Office,47.61595,-122.34756,1920_1940,1.0,3,50.0,49800,7820,49800.0,0,1,0,16.63,2385395.0
602,Mixed Use Property,47.61543,-122.34651,1940_1960,1.0,2,,22616,6080,12960.0,0,1,0,2.92,418348.5
603,Hotel,47.61471,-122.34525,1980_2000,1.0,5,87.0,57800,0,57800.0,0,1,1,66.29,2443065.25
604,Other,47.61319,-122.33695,1940_1960,1.0,2,2.0,31890,0,31160.0,0,1,0,12.95,1858224.625
605,Small- and Mid-Sized Office,47.61267,-122.33852,1920_1940,1.0,2,53.0,30438,13660,25920.0,1,1,0,41.69,1441900.5
606,Restaurant,47.61332,-122.33904,1920_1940,1.0,3,,22381,0,22381.0,0,1,1,126.78,3532966.5
607,Laboratory,47.61763,-122.35507,1920_1940,0.0,4,,49249,0,40584.0,0,1,1,1266.06,33268410.0
608,Retail Store,47.61812,-122.35509,1920_1940,1.0,1,,23562,1263,13940.0,0,1,1,11.14,439521.0938
609,Medical Office,47.6146,-122.34217,1940_1960,1.0,4,51.0,26670,0,26670.0,0,1,1,10.83,1553208.375
610,Small- and Mid-Sized Office,47.61768,-122.34139,1960_1980,1.0,1,,23752,0,14317.0,0,1,1,30.33,1067153.75
611,Hotel,47.61822,-122.34132,1960_1980,1.0,4,61.0,44416,0,52668.0,0,1,1,72.78,2669564.25
612,Mixed Use Property,47.61634,-122.35385,2000_,1.0,2,,10925,22867,8969.0,0,1,1,30.6,2547848.0
613,Worship Facility,47.66476,-122.35248,1920_1940,1.0,2,77.0,45991,0,45991.0,0,1,1,36.43,1145535.75
615,Small- and Mid-Sized Office,47.66461,-122.30142,1980_2000,1.0,2,16.0,20384,0,25021.0,0,1,1,13.91,1791071.375
616,Retail Store,47.66246,-122.29898,1940_1960,1.0,2,,39265,0,31905.0,0,1,1,47.12,5238803.0
617,Retail Store,47.66246,-122.29898,1940_1960,1.0,2,18.0,54284,0,52784.0,0,1,1,63.61,6778694.0
618,Retail Store,47.66246,-122.29898,1940_1960,1.0,1,67.0,23409,0,21909.0,0,1,1,28.41,2545405.0
619,Retail Store,47.66246,-122.29898,1980_2000,1.0,1,,63153,0,59396.0,0,1,1,47.66,4644178.0
620,Hotel,47.66355,-122.30123,1960_1980,2.0,2,91.0,24100,0,30910.0,0,1,1,46.57,1587454.75
621,Restaurant,47.61521,-122.33747,1920_1940,1.0,3,,33600,0,19200.0,0,1,1,101.99,4475650.0
622,Other,47.61362,-122.33959,1920_1940,1.0,4,81.0,32356,0,25876.0,1,1,0,74.92,1857154.75
623,Hotel,47.61798,-122.33974,1940_1960,1.0,7,24.0,48220,12960,61180.0,0,1,1,126.3,3993913.25
624,Small- and Mid-Sized Office,47.61524,-122.33519,1960_1980,1.0,5,51.0,32256,11250,32569.0,0,1,1,99.15,3460275.5
625,Worship Facility,47.67572,-122.3285,_1920,1.0,2,88.0,23931,0,23931.0,0,1,1,18.66,496477.3125
626,Worship Facility,47.67491,-122.33316,1940_1960,1.0,2,57.0,21393,0,21393.0,0,1,1,32.64,845961.375
627,Mixed Use Property,47.57256,-122.29265,1980_2000,1.0,2,80.0,47560,0,23146.0,0,1,1,33.23,1132489.625
628,Senior Care Community,47.60897,-122.32507,2000_,1.0,6,100.0,62334,0,35696.0,0,1,1,34.98,1076733.25
630,University,47.61679,-122.33619,_1920,1.0,3,,28800,0,28800.0,0,1,1,8.45,717056.375
631,K-12 School,47.61718,-122.33654,1940_1960,1.0,2,72.0,21600,0,21600.0,0,1,1,38.87,1261536.75
632,K-12 School,47.61687,-122.33533,1980_2000,1.0,3,43.0,22860,0,22860.0,0,1,0,6.49,931148.625
633,Worship Facility,47.66516,-122.2738,1960_1980,1.0,1,88.0,26366,0,26386.0,0,1,1,32.22,888031.875
634,Worship Facility,47.54362,-122.2667,1960_1980,1.0,2,2.0,21732,0,21732.0,0,1,1,23.59,860364.1875
635,Mixed Use Property,47.66835,-122.38886,1940_1960,1.0,1,,21060,0,10495.0,0,1,1,6.69,350264.5938
636,Mixed Use Property,47.6684,-122.38788,1940_1960,1.0,4,,20539,0,7387.0,0,1,1,37.31,1678458.75
637,Retail Store,47.66033,-122.31348,_1920,1.0,3,71.0,32960,0,32960.0,0,1,0,5.67,813641.0
638,Other,47.66097,-122.3139,1920_1940,1.0,3,,29636,0,25096.0,0,1,0,4.8,688641.8125
639,Hotel,47.66023,-122.31581,1920_1940,1.0,3,72.0,20571,0,20571.0,0,1,0,4.99,716279.6875
640,Worship Facility,47.65926,-122.31241,1920_1940,1.0,2,17.0,47992,0,37800.0,0,1,1,118.37,3040195.5
643,Worship Facility,47.68752,-122.29852,1980_2000,1.0,2,52.0,31386,0,30000.0,0,1,1,27.14,1128179.125
644,K-12 School,47.687,-122.30013,1980_2000,5.0,3,44.0,21500,0,96154.0,0,1,1,202.65,6689184.0
645,Small- and Mid-Sized Office,47.64834,-122.33188,2000_,1.0,2,68.0,57619,26497,55000.0,0,1,1,20.08,2641681.75
646,Hotel,47.61345,-122.34068,1920_1940,1.0,9,8.0,104000,0,96000.0,1,1,1,355.8,8690648.0
647,Senior Care Community,47.57188,-122.29531,1980_2000,1.0,3,98.0,78374,0,58665.0,0,1,0,23.15,3321035.75
648,Mixed Use Property,47.65742,-122.36736,2000_,1.0,2,,38784,0,16826.0,0,1,1,26.11,1841154.25
649,Other,47.57383,-122.33046,1960_1980,1.0,2,,41790,0,21790.0,0,1,1,33.37,2177075.0
650,Small- and Mid-Sized Office,47.60542,-122.3364,_1920,1.0,5,77.0,39960,0,37120.0,0,1,1,49.98,2178690.5
651,Warehouse,47.60528,-122.33627,_1920,1.0,5,,33300,0,24000.0,0,1,0,0.63,90558.70313
652,Hotel,47.60721,-122.33451,1920_1940,1.0,11,98.0,36240,0,36240.0,1,1,1,120.91,2147968.25
653,Other,47.60781,-122.33186,1920_1940,1.0,3,,32360,6960,39320.0,1,1,1,145.48,3042875.5
654,Other,47.60547,-122.33118,_1920,1.0,5,,41536,0,41536.0,0,1,0,19.07,2735166.0
655,Hotel,47.60223,-122.32889,_1920,1.0,6,94.0,35820,0,35820.0,0,1,1,130.58,3321603.0
656,K-12 School,47.56542,-122.38502,1920_1940,1.0,2,76.0,33462,0,57896.0,0,1,1,185.23,3987215.5
657,K-12 School,47.56504,-122.38455,1960_1980,1.0,3,98.0,49744,0,49744.0,0,1,1,89.29,2096835.5
658,Worship Facility,47.56342,-122.38509,1920_1940,1.0,2,60.0,37816,0,19407.0,0,1,1,43.45,1411305.5
659,Mixed Use Property,47.5622,-122.38648,1920_1940,0.0,2,,23315,0,7758.0,0,1,1,35.04,1354000.625
660,Mixed Use Property,47.56147,-122.38638,1920_1940,1.0,2,,20700,0,6900.0,0,1,1,188.67,4265815.0
661,Other,47.56263,-122.38196,1940_1960,1.0,1,,28397,13124,26241.0,0,1,1,100.21,3343550.0
662,Supermarket / Grocery Store,47.56197,-122.38109,1940_1960,1.0,2,100.0,25762,0,25762.0,0,1,0,13.29,1906384.875
663,Other,47.56245,-122.37805,1980_2000,1.0,1,,33334,0,50000.0,0,1,1,210.3,6118300.5
664,Small- and Mid-Sized Office,47.56175,-122.37835,1980_2000,1.0,3,60.0,43387,0,45000.0,0,1,1,34.15,2686765.0
665,Mixed Use Property,47.72178,-122.29498,1960_1980,1.0,1,,39350,0,19271.0,0,1,0,1.86,267135.0938
666,Other,47.72032,-122.29507,1940_1960,0.0,1,,22405,0,11000.0,0,1,1,134.57,3498214.75
667,Other,47.72606,-122.28747,2000_,1.0,1,,32590,0,32590.0,0,1,1,43.13,1361794.25
668,Warehouse,47.552,-122.32262,1980_2000,1.0,1,36.0,37500,0,61419.0,0,1,1,13.16,1811506.375
669,Medical Office,47.60132,-122.30477,1980_2000,1.0,2,25.0,39000,0,39000.0,0,1,1,33.92,2615247.75
670,Other,47.56018,-122.38716,1920_1940,1.0,1,,22180,0,14000.0,0,1,1,147.0,5089083.0
671,Distribution Center,47.58513,-122.30645,1960_1980,1.0,1,,25920,0,19277.0,0,1,1,12.48,1219744.75
672,Refrigerated Warehouse,47.58528,-122.30595,1940_1960,1.0,1,,25480,0,25480.0,0,1,0,5.17,741287.1875
673,Warehouse,47.58482,-122.30501,1960_1980,1.0,2,,31000,0,31000.0,0,1,1,19.93,2301043.75
674,Small- and Mid-Sized Office,47.58528,-122.305,1960_1980,1.0,1,57.0,29740,0,17804.0,0,1,1,19.82,1467060.25
675,Distribution Center,47.58607,-122.30445,1940_1960,1.0,1,,23236,0,20736.0,0,1,1,13.02,433871.0
676,Small- and Mid-Sized Office,47.58579,-122.3034,2000_,1.0,3,,38075,0,29035.0,0,1,1,19.04,1921801.25
677,Small- and Mid-Sized Office,47.5859,-122.29957,1960_1980,1.0,2,81.0,39170,0,35500.0,0,1,1,63.06,2130673.75
678,Other,47.56979,-122.29234,1960_1980,1.0,2,,20047,0,20047.0,0,1,0,0.82,117438.3984
679,Retail Store,47.57403,-122.3336,_1920,1.0,1,75.0,20000,0,20000.0,0,1,0,3.89,557863.6875
